<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.07	00:00:00	161.868	162.053	161.456	161.587	13478	0	22
2022.10.07	04:00:00	161.592	162.184	161.526	161.752	14003	0	9
2022.10.07	08:00:00	161.752	162.454	161.244	162.096	34961	0	0
2022.10.07	12:00:00	162.102	162.588	161.145	161.495	39122	0	3
2022.10.07	16:00:00	161.493	161.954	161.036	161.206	43082	0	3
2022.10.07	20:00:00	161.210	161.302	160.766	161.184	19721	0	2
2022.10.10	00:00:00	160.874	161.427	160.792	161.316	17848	0	9
2022.10.10	04:00:00	161.314	161.555	161.006	161.160	35004	0	6
2022.10.10	08:00:00	161.160	161.413	160.463	160.853	40109	0	0
2022.10.10	12:00:00	160.851	161.431	160.635	161.124	28633	0	0
2022.10.10	16:00:00	161.124	161.201	160.675	160.730	36314	0	0
2022.10.10	20:00:00	160.730	161.401	160.638	161.078	22799	0	3
2022.10.11	00:00:00	161.077	161.650	160.992	161.502	22287	0	3
2022.10.11	04:00:00	161.505	161.620	160.610	160.692	32659	0	2
2022.10.11	08:00:00	160.691	161.142	160.297	160.893	49987	0	0
2022.10.11	12:00:00	160.908	161.759	160.769	161.500	44256	0	0
2022.10.11	16:00:00	161.501	162.660	160.996	162.469	46633	0	0
2022.10.11	20:00:00	162.469	162.555	159.720	159.945	39100	0	0
2022.10.12	00:00:00	159.872	160.370	159.721	160.296	31558	0	9
2022.10.12	04:00:00	160.297	161.524	159.796	160.773	45649	0	0
2022.10.12	08:00:00	160.769	161.753	160.086	161.439	48267	0	0
2022.10.12	12:00:00	161.441	162.437	161.327	162.092	39191	0	0
2022.10.12	16:00:00	162.092	163.066	161.859	162.561	46125	0	0
2022.10.12	20:00:00	162.561	163.322	162.505	163.028	31555	0	0
2022.10.13	00:00:00	163.023	163.182	162.743	163.099	26948	0	5
2022.10.13	04:00:00	163.095	163.155	162.635	162.834	28410	0	0
2022.10.13	08:00:00	162.827	163.026	162.319	163.020	38653	0	0
2022.10.13	12:00:00	163.020	165.687	162.987	165.197	49044	0	0
2022.10.13	16:00:00	165.189	167.280	164.028	166.779	65429	0	0
2022.10.13	20:00:00	166.756	166.910	166.373	166.780	30438	0	1
2022.10.14	00:00:00	166.624	166.845	166.352	166.593	11300	0	7
2022.10.14	04:00:00	166.593	167.204	166.474	166.905	22706	0	20
2022.10.14	08:00:00	166.904	167.048	166.056	166.509	37836	0	0
2022.10.14	12:00:00	166.510	166.926	165.016	166.325	44491	0	0
2022.10.14	16:00:00	166.322	167.114	165.296	166.123	57139	0	0
2022.10.14	20:00:00	166.119	166.331	165.949	166.262	23997	0	10
2022.10.17	00:00:00	166.765	167.150	166.476	166.734	29375	0	5
2022.10.17	04:00:00	166.734	167.044	166.664	167.029	32808	0	0
2022.10.17	08:00:00	167.028	168.040	166.942	167.541	51714	0	0
2022.10.17	12:00:00	167.543	168.778	167.540	168.583	40225	0	0
2022.10.17	16:00:00	168.586	170.098	168.552	169.509	49700	0	0
2022.10.17	20:00:00	169.508	169.640	168.956	169.292	27312	0	2
2022.10.18	00:00:00	169.277	169.364	168.870	168.890	28233	0	7
2022.10.18	04:00:00	168.892	169.798	168.637	169.446	33619	0	0
2022.10.18	08:00:00	169.446	169.633	168.436	168.591	49809	0	0
2022.10.18	12:00:00	168.592	168.969	167.569	168.757	50539	0	0
2022.10.18	16:00:00	168.757	168.990	168.311	168.760	53540	0	0
2022.10.18	20:00:00	168.759	169.117	168.371	168.958	35144	0	1
